"Step","layer_12_rank_16_sae_from_scratch_trainer_80_kl_0_k_80 - val_loss","layer_12_rank_16_sae_from_scratch_trainer_80_kl_0_k_80 - val_loss__MIN","layer_12_rank_16_sae_from_scratch_trainer_80_kl_0_k_80 - val_loss__MAX","layer_12_rank_16_sae_from_scratch_trainer_40_kl_0_k_40 - val_loss","layer_12_rank_16_sae_from_scratch_trainer_40_kl_0_k_40 - val_loss__MIN","layer_12_rank_16_sae_from_scratch_trainer_40_kl_0_k_40 - val_loss__MAX","layer_12_rank_16_sae_from_scratch_trainer_160_kl_0_k_160 - val_loss","layer_12_rank_16_sae_from_scratch_trainer_160_kl_0_k_160 - val_loss__MIN","layer_12_rank_16_sae_from_scratch_trainer_160_kl_0_k_160 - val_loss__MAX","layer_12_rank_16_sae_from_scratch_trainer_20_kl_0_k_20 - val_loss","layer_12_rank_16_sae_from_scratch_trainer_20_kl_0_k_20 - val_loss__MIN","layer_12_rank_16_sae_from_scratch_trainer_20_kl_0_k_20 - val_loss__MAX","layer_12_rank_16_sae_from_scratch_trainer_80_kl_95_k_80 - val_loss","layer_12_rank_16_sae_from_scratch_trainer_80_kl_95_k_80 - val_loss__MIN","layer_12_rank_16_sae_from_scratch_trainer_80_kl_95_k_80 - val_loss__MAX","layer_12_rank_16_sae_from_scratch_trainer_160_kl_95_k_160 - val_loss","layer_12_rank_16_sae_from_scratch_trainer_160_kl_95_k_160 - val_loss__MIN","layer_12_rank_16_sae_from_scratch_trainer_160_kl_95_k_160 - val_loss__MAX","layer_12_rank_16_sae_from_scratch_trainer_40_kl_95_k_40 - val_loss","layer_12_rank_16_sae_from_scratch_trainer_40_kl_95_k_40 - val_loss__MIN","layer_12_rank_16_sae_from_scratch_trainer_40_kl_95_k_40 - val_loss__MAX","layer_12_rank_16_sae_from_scratch_trainer_20_kl_95_k_20 - val_loss","layer_12_rank_16_sae_from_scratch_trainer_20_kl_95_k_20 - val_loss__MIN","layer_12_rank_16_sae_from_scratch_trainer_20_kl_95_k_20 - val_loss__MAX"
"99999","2.170996004538258","2.170996004538258","2.170996004538258","2.1981874066219116","2.1981874066219116","2.1981874066219116","2.147971727708955","2.147971727708955","2.147971727708955","2.2512682677535465","2.2512682677535465","2.2512682677535465","2.164276683800296","2.164276683800296","2.164276683800296","2.133801827990777","2.133801827990777","2.133801827990777","2.2141166842764695","2.2141166842764695","2.2141166842764695","2.3834690683451742","2.3834690683451742","2.3834690683451742"
"109999","2.166319210917337","2.166319210917337","2.166319210917337","2.191987409257352","2.191987409257352","2.191987409257352","2.1429706029174516","2.1429706029174516","2.1429706029174516","2.243862813607453","2.243862813607453","2.243862813607453","2.1610189837040408","2.1610189837040408","2.1610189837040408","2.1315805409923425","2.1315805409923425","2.1315805409923425","2.2078226626895465","2.2078226626895465","2.2078226626895465","2.377058996758905","2.377058996758905","2.377058996758905"
"119999","2.1648225478652554","2.1648225478652554","2.1648225478652554","2.1873201704379115","2.1873201704379115","2.1873201704379115","2.141869366107968","2.141869366107968","2.141869366107968","2.2386718899652194","2.2386718899652194","2.2386718899652194","2.1585142818358682","2.1585142818358682","2.1585142818358682","2.129185749296034","2.129185749296034","2.129185749296034","2.2038360964678447","2.2038360964678447","2.2038360964678447","2.364803244385529","2.364803244385529","2.364803244385529"
"129999","2.164166349227499","2.164166349227499","2.164166349227499","2.1880083273230704","2.1880083273230704","2.1880083273230704","2.1417944854394197","2.1417944854394197","2.1417944854394197","2.237899525931816","2.237899525931816","2.237899525931816","2.1589570357526213","2.1589570357526213","2.1589570357526213","2.1298139805437475","2.1298139805437475","2.1298139805437475","2.203955452267687","2.203955452267687","2.203955452267687","2.362743766122367","2.362743766122367","2.362743766122367"
"139999","2.157942071145242","2.157942071145242","2.157942071145242","2.1883438764904515","2.1883438764904515","2.1883438764904515","2.1415014252630935","2.1415014252630935","2.1415014252630935","2.230561988655108","2.230561988655108","2.230561988655108","2.1572859850669226","2.1572859850669226","2.1572859850669226","2.1288126236706697","2.1288126236706697","2.1288126236706697","2.202782196148147","2.202782196148147","2.202782196148147","2.3558647061870674","2.3558647061870674","2.3558647061870674"
"149999","2.1604257761944035","2.1604257761944035","2.1604257761944035","2.186066051131017","2.186066051131017","2.186066051131017","2.1435006358789446","2.1435006358789446","2.1435006358789446","2.2349934119163053","2.2349934119163053","2.2349934119163053","2.157895347814599","2.157895347814599","2.157895347814599","2.127582231893022","2.127582231893022","2.127582231893022","2.1997875916555203","2.1997875916555203","2.1997875916555203","2.356470408038205","2.356470408038205","2.356470408038205"
"159999","2.1626331123810343","2.1626331123810343","2.1626331123810343","2.1819372225625244","2.1819372225625244","2.1819372225625244","2.1416851511204134","2.1416851511204134","2.1416851511204134","2.2295822494471698","2.2295822494471698","2.2295822494471698","2.1554856542250027","2.1554856542250027","2.1554856542250027","2.126438667732715","2.126438667732715","2.126438667732715","2.1981297990377753","2.1981297990377753","2.1981297990377753","2.3489530076146004","2.3489530076146004","2.3489530076146004"
"169999","2.15804205113448","2.15804205113448","2.15804205113448","2.178563082779442","2.178563082779442","2.178563082779442","2.139843298932547","2.139843298932547","2.139843298932547","2.224299578760639","2.224299578760639","2.224299578760639","2.151359674233863","2.151359674233863","2.151359674233863","2.126038244095161","2.126038244095161","2.126038244095161","2.194793269541515","2.194793269541515","2.194793269541515","2.343685567958572","2.343685567958572","2.343685567958572"
"179999","2.156924701822939","2.156924701822939","2.156924701822939","2.1768662906656977","2.1768662906656977","2.1768662906656977","2.138798542038567","2.138798542038567","2.138798542038567","2.221160540957778","2.221160540957778","2.221160540957778","2.15026286101024","2.15026286101024","2.15026286101024","2.124940311652489","2.124940311652489","2.124940311652489","2.194099885444924","2.194099885444924","2.194099885444924","2.33996800286743","2.33996800286743","2.33996800286743"
"189999","2.153465234726942","2.153465234726942","2.153465234726942","2.1715165207671534","2.1715165207671534","2.1715165207671534","2.135223269249058","2.135223269249058","2.135223269249058","2.2160349806414166","2.2160349806414166","2.2160349806414166","2.149030091178088","2.149030091178088","2.149030091178088","2.123544403755067","2.123544403755067","2.123544403755067","2.1899135395838756","2.1899135395838756","2.1899135395838756","2.3326412606202713","2.3326412606202713","2.3326412606202713"
