"Step","layer_12_rank_16_sae_full_finetune_trainer_2_kl_only - mse_loss","layer_12_rank_16_sae_full_finetune_trainer_2_kl_only - mse_loss__MIN","layer_12_rank_16_sae_full_finetune_trainer_2_kl_only - mse_loss__MAX","layer_12_rank_16_sae_full_finetune_trainer_2 - mse_loss","layer_12_rank_16_sae_full_finetune_trainer_2 - mse_loss__MIN","layer_12_rank_16_sae_full_finetune_trainer_2 - mse_loss__MAX"
"7900","0.97265625","0.97265625","0.97265625","0.85546875","0.85546875","0.85546875"
"8000","1.46875","1.46875","1.46875","1.3828125","1.3828125","1.3828125"
"8100","1.4921875","1.4921875","1.4921875","1.3828125","1.3828125","1.3828125"
"8200","1.484375","1.484375","1.484375","1.3671875","1.3671875","1.3671875"
"8300","1.2890625","1.2890625","1.2890625","1.203125","1.203125","1.203125"
"8400","1.3359375","1.3359375","1.3359375","1.2421875","1.2421875","1.2421875"
"8500","1.234375","1.234375","1.234375","1.1328125","1.1328125","1.1328125"
"8600","1.3125","1.3125","1.3125","1.2109375","1.2109375","1.2109375"
"8700","1.6171875","1.6171875","1.6171875","1.4375","1.4375","1.4375"
"8800","1.296875","1.296875","1.296875","1.203125","1.203125","1.203125"
"8900","1.3359375","1.3359375","1.3359375","1.25","1.25","1.25"
"9000","1.34375","1.34375","1.34375","1.2578125","1.2578125","1.2578125"
"9100","1.4140625","1.4140625","1.4140625","1.296875","1.296875","1.296875"
"9200","1.0703125","1.0703125","1.0703125","0.96875","0.96875","0.96875"
"9300","1.40625","1.40625","1.40625","1.2890625","1.2890625","1.2890625"
"9400","1.328125","1.328125","1.328125","1.2109375","1.2109375","1.2109375"
"9500","1.578125","1.578125","1.578125","1.484375","1.484375","1.484375"
"9600","1.40625","1.40625","1.40625","1.3125","1.3125","1.3125"
"9700","1.4453125","1.4453125","1.4453125","1.359375","1.359375","1.359375"
"9800","1.3515625","1.3515625","1.3515625","1.265625","1.265625","1.265625"
"9900","0.73046875","0.73046875","0.73046875","0.62890625","0.62890625","0.62890625"
"10000","1.421875","1.421875","1.421875","1.3203125","1.3203125","1.3203125"
"10100","1.5625","1.5625","1.5625","1.4453125","1.4453125","1.4453125"
"10200","1.3046875","1.3046875","1.3046875","1.2109375","1.2109375","1.2109375"
"10300","1.328125","1.328125","1.328125","1.2265625","1.2265625","1.2265625"
"10400","1.3359375","1.3359375","1.3359375","1.2265625","1.2265625","1.2265625"
"10500","1.3984375","1.3984375","1.3984375","1.3125","1.3125","1.3125"
"10600","1.4453125","1.4453125","1.4453125","1.3203125","1.3203125","1.3203125"
"10700","1.375","1.375","1.375","1.28125","1.28125","1.28125"
"10800","1.3984375","1.3984375","1.3984375","1.3046875","1.3046875","1.3046875"
"10900","1.3359375","1.3359375","1.3359375","1.234375","1.234375","1.234375"
"11000","1.2578125","1.2578125","1.2578125","1.15625","1.15625","1.15625"
"11100","1.3203125","1.3203125","1.3203125","1.203125","1.203125","1.203125"
"11200","1.3984375","1.3984375","1.3984375","1.3125","1.3125","1.3125"
"11300","1.4140625","1.4140625","1.4140625","1.3125","1.3125","1.3125"
"11400","1.4296875","1.4296875","1.4296875","1.328125","1.328125","1.328125"
"11500","1.2890625","1.2890625","1.2890625","1.1640625","1.1640625","1.1640625"
"11600","1.2265625","1.2265625","1.2265625","1.1171875","1.1171875","1.1171875"
"11700","1.2734375","1.2734375","1.2734375","1.140625","1.140625","1.140625"
"11800","1.390625","1.390625","1.390625","1.28125","1.28125","1.28125"
"11900","1.3671875","1.3671875","1.3671875","1.265625","1.265625","1.265625"
"12000","1.546875","1.546875","1.546875","1.40625","1.40625","1.40625"
"12100","0.859375","0.859375","0.859375","0.75390625","0.75390625","0.75390625"
"12200","1.234375","1.234375","1.234375","1.125","1.125","1.125"
"12300","1.234375","1.234375","1.234375","1.140625","1.140625","1.140625"
"12400","1.3671875","1.3671875","1.3671875","1.25","1.25","1.25"
"12500","1.4921875","1.4921875","1.4921875","1.3671875","1.3671875","1.3671875"
"12600","1.3125","1.3125","1.3125","1.203125","1.203125","1.203125"
"12700","1.4140625","1.4140625","1.4140625","1.3046875","1.3046875","1.3046875"
"12800","1.3984375","1.3984375","1.3984375","1.2890625","1.2890625","1.2890625"
"12900","1.25","1.25","1.25","1.171875","1.171875","1.171875"
"13000","1.28125","1.28125","1.28125","1.171875","1.171875","1.171875"
"13100","1.359375","1.359375","1.359375","1.2265625","1.2265625","1.2265625"
"13200","1.59375","1.59375","1.59375","1.46875","1.46875","1.46875"
"13300","1.390625","1.390625","1.390625","1.265625","1.265625","1.265625"
"13400","1.3984375","1.3984375","1.3984375","1.3046875","1.3046875","1.3046875"
"13500","1.6328125","1.6328125","1.6328125","1.4765625","1.4765625","1.4765625"
"13600","1.2890625","1.2890625","1.2890625","1.1796875","1.1796875","1.1796875"
"13700","1.3671875","1.3671875","1.3671875","1.2734375","1.2734375","1.2734375"
"13800","1.3828125","1.3828125","1.3828125","1.265625","1.265625","1.265625"
"13900","1.4453125","1.4453125","1.4453125","1.328125","1.328125","1.328125"
"14000","1.421875","1.421875","1.421875","1.3203125","1.3203125","1.3203125"
"14100","1.1875","1.1875","1.1875","1.078125","1.078125","1.078125"
"14200","1.46875","1.46875","1.46875","1.34375","1.34375","1.34375"
"14300","1.2890625","1.2890625","1.2890625","1.1875","1.1875","1.1875"
"14400","1.2265625","1.2265625","1.2265625","1.1171875","1.1171875","1.1171875"
"14500","1.3203125","1.3203125","1.3203125","1.2109375","1.2109375","1.2109375"
"14600","1.46875","1.46875","1.46875","1.359375","1.359375","1.359375"
"14700","1.296875","1.296875","1.296875","1.1875","1.1875","1.1875"
"14800","1.1484375","1.1484375","1.1484375","1.0390625","1.0390625","1.0390625"
"14900","1.453125","1.453125","1.453125","1.328125","1.328125","1.328125"
