"Step","layer_12_rank_768_mlp_adapter_only_v4 - val_loss","layer_12_rank_768_mlp_adapter_only_v4 - val_loss__MIN","layer_12_rank_768_mlp_adapter_only_v4 - val_loss__MAX","layer_12_rank_768_adapter_only_v4 - val_loss","layer_12_rank_768_adapter_only_v4 - val_loss__MIN","layer_12_rank_768_adapter_only_v4 - val_loss__MAX","layer_12_rank_16_mlp_adapter_only_v4 - val_loss","layer_12_rank_16_mlp_adapter_only_v4 - val_loss__MIN","layer_12_rank_16_mlp_adapter_only_v4 - val_loss__MAX","layer_12_rank_16_adapter_only_v4 - val_loss","layer_12_rank_16_adapter_only_v4 - val_loss__MIN","layer_12_rank_16_adapter_only_v4 - val_loss__MAX","layer_12_rank_16_sae_full_finetune_v4 - val_loss","layer_12_rank_16_sae_full_finetune_v4 - val_loss__MIN","layer_12_rank_16_sae_full_finetune_v4 - val_loss__MAX"
"13998","1.9959564280973607","1.9959564280973607","1.9959564280973607","1.9949541526294658","1.9949541526294658","1.9949541526294658","2.001713306718375","2.001713306718375","2.001713306718375","2.0011452956843887","2.0011452956843887","2.0011452956843887","1.9874373103969538","1.9874373103969538","1.9874373103969538"
"14998","1.9959449312948034","1.9959449312948034","1.9959449312948034","1.9951667354929288","1.9951667354929288","1.9951667354929288","2.0017266868934906","2.0017266868934906","2.0017266868934906","2.000962385440678","2.000962385440678","2.000962385440678","1.9864067109482804","1.9864067109482804","1.9864067109482804"
"15998","1.9953797447400792","1.9953797447400792","1.9953797447400792","1.9943690989986291","1.9943690989986291","1.9943690989986291","2.001439913939551","2.001439913939551","2.001439913939551","2.0007689552516994","2.0007689552516994","2.0007689552516994","1.9871907829628264","1.9871907829628264","1.9871907829628264"
"16998","1.9953889923061539","1.9953889923061539","1.9953889923061539","1.994342328155053","1.994342328155053","1.994342328155053","2.001079700315255","2.001079700315255","2.001079700315255","2.0004356200277744","2.0004356200277744","2.0004356200277744","1.9869667253206307","1.9869667253206307","1.9869667253206307"
"17998","1.994876027717317","1.994876027717317","1.994876027717317","1.993848858311574","1.993848858311574","1.993848858311574","2.0012588265486357","2.0012588265486357","2.0012588265486357","2.000390116487579","2.000390116487579","2.000390116487579","1.9867374197853502","1.9867374197853502","1.9867374197853502"
"18998","1.9948957078044465","1.9948957078044465","1.9948957078044465","1.993782740776468","1.993782740776468","1.993782740776468","2.001211481121204","2.001211481121204","2.001211481121204","2.000479420778573","2.000479420778573","2.000479420778573","1.9851371904600605","1.9851371904600605","1.9851371904600605"
"19998","1.9946536449839418","1.9946536449839418","1.9946536449839418","1.9940262629041408","1.9940262629041408","1.9940262629041408","2.0008930896419344","2.0008930896419344","2.0008930896419344","2.000308220315736","2.000308220315736","2.000308220315736","1.9859499489638799","1.9859499489638799","1.9859499489638799"
"20998","1.9941299456412862","1.9941299456412862","1.9941299456412862","1.9937294056618104","1.9937294056618104","1.9937294056618104","2.000721216933876","2.000721216933876","2.000721216933876","2.0001097651562647","2.0001097651562647","2.0001097651562647","1.9852769196704563","1.9852769196704563","1.9852769196704563"
"21998","1.9940195300195942","1.9940195300195942","1.9940195300195942","1.993563982151914","1.993563982151914","1.993563982151914","2.0007317599401016","2.0007317599401016","2.0007317599401016","2.000102222941915","2.000102222941915","2.000102222941915","1.9855633895375224","1.9855633895375224","1.9855633895375224"
"22998","1.9939798536417794","1.9939798536417794","1.9939798536417794","1.9933146156576542","1.9933146156576542","1.9933146156576542","2.00024859016969","2.00024859016969","2.00024859016969","1.9997342560772031","1.9997342560772031","1.9997342560772031","1.984391819552243","1.984391819552243","1.984391819552243"
"23998","1.9949915288292641","1.9949915288292641","1.9949915288292641","1.994424375077231","1.994424375077231","1.994424375077231","2.0007871853658585","2.0007871853658585","2.0007871853658585","2.000094166065556","2.000094166065556","2.000094166065556","1.9833644532132417","1.9833644532132417","1.9833644532132417"
"24998","1.9940804305925828","1.9940804305925828","1.9940804305925828","1.993502707844991","1.993502707844991","1.993502707844991","2.000396886525891","2.000396886525891","2.000396886525891","1.9999002065726899","1.9999002065726899","1.9999002065726899","1.9848931669090764","1.9848931669090764","1.9848931669090764"
"25998","1.994056493562466","1.994056493562466","1.994056493562466","1.9935655305915136","1.9935655305915136","1.9935655305915136","2.000210368950511","2.000210368950511","2.000210368950511","1.9999409670595503","1.9999409670595503","1.9999409670595503","1.9843819010221115","1.9843819010221115","1.9843819010221115"
"26998","1.994403155091597","1.994403155091597","1.994403155091597","1.9938507078857968","1.9938507078857968","1.9938507078857968","2.000479012087155","2.000479012087155","2.000479012087155","2.0000292541060745","2.0000292541060745","2.0000292541060745","1.9841431914966938","1.9841431914966938","1.9841431914966938"
"27998","1.9934080282155664","1.9934080282155664","1.9934080282155664","1.993112955757149","1.993112955757149","1.993112955757149","1.9999962212363431","1.9999962212363431","1.9999962212363431","1.9995031621585482","1.9995031621585482","1.9995031621585482","1.9841866401103283","1.9841866401103283","1.9841866401103283"
"28998","1.9937387346123234","1.9937387346123234","1.9937387346123234","1.993364300064079","1.993364300064079","1.993364300064079","2.0004089803510214","2.0004089803510214","2.0004089803510214","1.9998999463133094","1.9998999463133094","1.9998999463133094","1.9841186093698382","1.9841186093698382","1.9841186093698382"
"29998","1.9940859932250352","1.9940859932250352","1.9940859932250352","1.9935953211393913","1.9935953211393913","1.9935953211393913","2.000668652287037","2.000668652287037","2.000668652287037","2.000042459005709","2.000042459005709","2.000042459005709","1.983934791024656","1.983934791024656","1.983934791024656"
