"Step","layer_12_rank_16_sae_full_finetune - mse_loss","layer_12_rank_16_sae_full_finetune - mse_loss__MIN","layer_12_rank_16_sae_full_finetune - mse_loss__MAX","layer_12_rank_16_sae_full_finetune_kl_only - mse_loss","layer_12_rank_16_sae_full_finetune_kl_only - mse_loss__MIN","layer_12_rank_16_sae_full_finetune_kl_only - mse_loss__MAX"
"7900","1.1171875","1.03125","1.203125","1.203125","1.203125","1.203125"
"8000","1.81640625","1.6796875","1.953125","1.796875","1.796875","1.796875"
"8100","1.85546875","1.7265625","1.984375","1.875","1.875","1.875"
"8200","1.78125","1.65625","1.90625","1.7890625","1.7890625","1.7890625"
"8300","1.64453125","1.546875","1.7421875","1.609375","1.609375","1.609375"
"8400","1.6875","1.609375","1.765625","1.6640625","1.6640625","1.6640625"
"8500","1.56640625","1.421875","1.7109375","1.671875","1.671875","1.671875"
"8600","1.66015625","1.578125","1.7421875","1.6484375","1.6484375","1.6484375"
"8700","1.8671875","1.703125","2.03125","1.96875","1.96875","1.96875"
"8800","1.62890625","1.515625","1.7421875","1.625","1.625","1.625"
"8900","1.6796875","1.578125","1.78125","1.6640625","1.6640625","1.6640625"
"9000","1.70703125","1.609375","1.8046875","1.6875","1.6875","1.6875"
"9100","1.72265625","1.6015625","1.84375","1.7578125","1.7578125","1.7578125"
"9200","1.42578125","1.3671875","1.484375","1.4609375","1.4609375","1.4609375"
"9300","1.6484375","1.46875","1.828125","1.7421875","1.7421875","1.7421875"
"9400","1.6796875","1.6171875","1.7421875","1.6796875","1.6796875","1.6796875"
"9500","1.97265625","1.8359375","2.109375","1.9765625","1.9765625","1.9765625"
"9600","1.71484375","1.5625","1.8671875","1.7578125","1.7578125","1.7578125"
"9700","1.8203125","1.6875","1.953125","1.8125","1.8125","1.8125"
"9800","1.73046875","1.6328125","1.828125","1.71875","1.71875","1.71875"
"9900","1.01953125","1.0078125","1.03125","1.1015625","1.1015625","1.1015625"
"10000","1.765625","1.625","1.90625","1.7890625","1.7890625","1.7890625"
"10100","1.95703125","1.8359375","2.078125","1.9609375","1.9609375","1.9609375"
"10200","1.62890625","1.5","1.7578125","1.6640625","1.6640625","1.6640625"
"10300","1.65625","1.5390625","1.7734375","1.6875","1.6875","1.6875"
"10400","1.6484375","1.5234375","1.7734375","1.703125","1.703125","1.703125"
"10500","1.80078125","1.6953125","1.90625","1.8203125","1.8203125","1.8203125"
"10600","1.7421875","1.578125","1.90625","1.84375","1.84375","1.84375"
