"Step","layer_12_rank_16_sae_from_scratch_trainer_80_kl_0_k_80 - val_loss","layer_12_rank_16_sae_from_scratch_trainer_80_kl_0_k_80 - val_loss__MIN","layer_12_rank_16_sae_from_scratch_trainer_80_kl_0_k_80 - val_loss__MAX","layer_12_rank_16_sae_from_scratch_trainer_80_kl_95_k_80 - val_loss","layer_12_rank_16_sae_from_scratch_trainer_80_kl_95_k_80 - val_loss__MIN","layer_12_rank_16_sae_from_scratch_trainer_80_kl_95_k_80 - val_loss__MAX"
"0","7.878480441738664","7.878480441738664","7.878480441738664","7.878480441738664","7.878480441738664","7.878480441738664"
"9999","2.2554277169728842","2.2554277169728842","2.2554277169728842","2.3999390698809218","2.3999390698809218","2.3999390698809218"
"19999","2.225193986476627","2.225193986476627","2.225193986476627","2.2557654040069637","2.2557654040069637","2.2557654040069637"
"29999","2.2146485767564608","2.2146485767564608","2.2146485767564608","2.2192999143134364","2.2192999143134364","2.2192999143134364"
"39999","2.2020440876727947","2.2020440876727947","2.2020440876727947","2.1955855274334657","2.1955855274334657","2.1955855274334657"
"49999","2.196518653338373","2.196518653338373","2.196518653338373","2.186261816211464","2.186261816211464","2.186261816211464"
"59999","2.1887449897604565","2.1887449897604565","2.1887449897604565","2.1777962816225225","2.1777962816225225","2.1777962816225225"
"69999","2.1842739621716856","2.1842739621716856","2.1842739621716856","2.1758269259788117","2.1758269259788117","2.1758269259788117"
"79999","2.1805040809185745","2.1805040809185745","2.1805040809185745","2.1693876440290785","2.1693876440290785","2.1693876440290785"
"89999","2.177307913161837","2.177307913161837","2.177307913161837","2.165042365738167","2.165042365738167","2.165042365738167"
"99999","2.170996004538258","2.170996004538258","2.170996004538258","2.164276683800296","2.164276683800296","2.164276683800296"
"109999","2.166319210917337","2.166319210917337","2.166319210917337","2.1610189837040408","2.1610189837040408","2.1610189837040408"
"119999","2.1648225478652554","2.1648225478652554","2.1648225478652554","2.1585142818358682","2.1585142818358682","2.1585142818358682"
