"Step","E2E SAE - val_loss","E2E SAE - val_loss__MIN","E2E SAE - val_loss__MAX","5% KL Fine-tune SAE - val_loss","5% KL Fine-tune SAE - val_loss__MIN","5% KL Fine-tune SAE - val_loss__MAX"
"379992","3.2141929775811997","3.2141929775811997","3.2141929775811997","3.2649083269289108","3.2649083269289108","3.2649083269289108"
"389992","3.2131307322756903","3.2131307322756903","3.2131307322756903","3.2637264272207616","3.2637264272207616","3.2637264272207616"
"399992","3.2125141315596863","3.2125141315596863","3.2125141315596863","3.2624586719329427","3.2624586719329427","3.2624586719329427"
"409992","3.2102271204961115","3.2102271204961115","3.2102271204961115","3.2602809473582397","3.2602809473582397","3.2602809473582397"
"419992","3.2102913807700086","3.2102913807700086","3.2102913807700086","3.2611408599689526","3.2611408599689526","3.2611408599689526"
"429992","3.20793078450854","3.20793078450854","3.20793078450854","3.258375565617697","3.258375565617697","3.258375565617697"
"439992","3.2064890841988727","3.2064890841988727","3.2064890841988727","3.2574252848005343","3.2574252848005343","3.2574252848005343"
"449992","3.2089772424531935","3.2089772424531935","3.2089772424531935","3.2583118617351614","3.2583118617351614","3.2583118617351614"
"459992","3.2050762684098775","3.2050762684098775","3.2050762684098775","3.2549310726177483","3.2549310726177483","3.2549310726177483"
"469992","3.2022254054597603","3.2022254054597603","3.2022254054597603","3.2521432258699665","3.2521432258699665","3.2521432258699665"
"475000","","","","3.2516180646578143","3.2516180646578143","3.2516180646578143"
"477000","","","","3.2236522085957056","3.2236522085957056","3.2236522085957056"
"479000","","","","3.2142302162693612","3.2142302162693612","3.2142302162693612"
"479992","3.202322496240434","3.202322496240434","3.202322496240434","","",""
"481000","","","","3.212239856485701","3.212239856485701","3.212239856485701"
"483000","","","","3.2066795960175467","3.2066795960175467","3.2066795960175467"
"485000","","","","3.206003184206288","3.206003184206288","3.206003184206288"
"487000","","","","3.2025158202757975","3.2025158202757975","3.2025158202757975"
"489000","","","","3.2013632360475945","3.2013632360475945","3.2013632360475945"
"489992","3.2010875592578274","3.2010875592578274","3.2010875592578274","","",""
"491000","","","","3.199898373263153","3.199898373263153","3.199898373263153"
"493000","","","","3.1978889839187983","3.1978889839187983","3.1978889839187983"
"495000","","","","3.198946607271505","3.198946607271505","3.198946607271505"
"497000","","","","3.1956043048183163","3.1956043048183163","3.1956043048183163"
"499000","","","","3.1944315367613747","3.1944315367613747","3.1944315367613747"
"499992","3.1991007803894482","3.1991007803894482","3.1991007803894482","","",""
"500000","3.1991007803894482","3.1991007803894482","3.1991007803894482","3.194689097643631","3.194689097643631","3.194689097643631"
